listing,price,brand,size
"Chanel | Cosmetic Travel Makeup Make-Up Bags
Pouches 3 Piece Set",359.0,CHANEL,Size: SML
Y2K Juicy Couture Velour Yellow Purse 2000s Rare Vintage,400.0,Juicy Couture,Size: OS
New Badgley Mischka Plum Diamond Quilt Gold Studded Crossbody Bag,86.0,Badgley Mischka,Size: OS
Kate Spade New York Veranda Place Straw Maree Crossbody EUC with COA,90.0,kate spade,"Size: H 6.25"" W10.25"" D 0.75"" Strap Drop 22.5"""
Louis Vuitton Porte-Feuille Brazza Wallet – Black,685.0,Louis Vuitton,Size: OS
💎✨BEAUTIFUL✨💎AUTHENTIC CHANEL Shoulder Bag Black,1422.0,CHANEL,Size: OS
Kate Spade New York Beacon Court Angelica bow crossbody bag Pink,55.0,kate spade,Size: One Size
Versace Black Leather Card Holder with Gold Logo,225.0,Versace,Size: OS
Anuschka Hand Painted Leather Coin Purse,28.0,Anuschka,Size: OS
NWT Disney X‎ Coach Corner Zip Wristlet With Sled Motif,79.0,Coach,Size: OS
Louis Vuitton Multi Pochette Accessoires  Khaki Strap,499.0,Louis Vuitton,Size: OS
"Vintage mesh handbag, black vintage bag, shoulder handbag, vintage flap bag",22.0,Vintage,Size: OS
Galian New York Tote,27.0,Galian,Size: OS
Christian Dior Rasta Oblique Canvas & Leather Bi-Fold Wallet Vintage Authentic,335.0,Dior,Size: OS
Vintage Gucci GG Canvas Abbey Tote Brown Monogram Leather 13”,449.0,Gucci,Size: OS
Botkier New York Backpack Purse Bag Black Leather Nylon,20.0,Botkier,Size: OS
Camelbak Flashflo Hiking Waist Pack with Hydration,30.0,Camelbak,Size: OS
"Karl Lagerfeld “Kristen Paris Star  ” Canvas Tote, NWT",137.0,Karl Lagerfeld,Size: Measures approx: 19” x 14” x 6”
Juicy Couture Licorice‎ Raising Star Bowler Bag NWT,44.0,Juicy Couture,Size: OS
"Vera Bradley Turn Lock Wallet in the ""Rhythm and Blues"" pattern CC & ID slots.",15.0,Vera Bradley,Size: OS
Zara Basic Faux Fur Mini Bucket Bag,58.0,Zara,Size: OS
"Reebok Beige & Pink Logo Backpack – Adjustable Straps, Casual Everyday Bag",12.0,Reebok,Size: OS
Coach leather Signature Sufflette leather handbag y2k,120.0,Coach,Size: OS
Coach Signature Vintage Y2K Soho Hobo Bag,180.0,Coach,Size: OS
Rosetti gray black zip top crossbody zippered pockets travel every day casual,25.0,Rosetti,Size: OS
Waterproof Makeup Bag – Floral & Lace Cosmetic Pouch Handmade,44.0,Fe.Ly,Size: OS
Vibrant Pink Women's Bag,10.0,N/A,Size: OS
DKNY Sutton Leather Bryant Flap Crossbody - Red,40.0,Dkny,Size: OS
Marc by Marc Jacobs Preppy Nylon Swing Pack,55.0,Marc By Marc Jacobs,Size: OS
BEBE White Gold Crossbody Chain Strap Purse,30.0,bebe,Size: OS
Red White Striped Gameday Football Team Seed Beaded Guitar Crossbody Bag Strap,29.0,NFL,Size: OS
TIMBERLAND | VINTAGE TIMBERLAND DENIM DRAWSTRING BACKPACKS BAG,23.0,Vintage,Size: OS
Vintage Knit Woven Hobo Bag Brown Taupe Crochet Crossbody Boho Hippie 90s Y2k,23.0,Jacqueline Ferrar,Size: OS
Lingerie Lace Purple Polka Dot Bra Shaped Handbag Storage,35.0,Mother Hustler,Size: OS
"Ralph Lauren Black White Houndstooth Barrel Baguette Shoulder Bag | 11x5x3.5""",100.0,Ralph Lauren,Size: OS
Victoria's Secret Black Leather Shoulder Bag Pink Lined Y2K Zip Purse,30.0,Victoria's Secret,Size: OS
NWT Kanken art backpack,100.0,Fjallraven,Size: OS
Dune London Dandelion Crossbody Satchel Gray‎ Snake Embossed Vegan Leather Taupe,40.0,Dune London,Size: OS
Stella McCartney Falabella bag,650.0,Stella McCartney,Size: OS
Tory Burch Large Brown Leather Tote Bag/Purse Two Handles,65.0,Tory Burch,Size: OS
NWT Ann Taylor black leather ribbon tote bag,100.0,Ann Taylor,Size: OS
Red Leather Aimee Kestenberg Milan Bum Bag,78.0,Aimee Kestenberg,Size: OS
Nena & Co Mexico Collection Leather Dome Clutch,40.0,Nena & Co.,Size: OS
Vintage Elegant Black Textured Shoulder Bag,22.0,N/A,Size: OS
SPEEDY40 ✅AUTHENTIC LOUIS VUITTON,720.0,Louis Vuitton,Size: OS
Loungefly Disney NWT The Lion King Black Mini Backpack RARE,80.0,Loungefly,Size: OS
NWT Michael Kors Greenwich Jet Set Travel Crossbody Bag Galaxy Blue + Care Card,145.0,Michael Kors,Size: OS
Juicy Couture large travel cosmetics bag NWT,25.0,Juicy Couture,Size: 12x8x4
Versace Virtus Barocco Print V Logo Quilted Silk Twill Chain Tote Bag nwt auth,1100.0,Versace,Size: OS
Dooney & Bourke Chevron Collection Denim Blue Travel Pouch,39.0,Dooney & Bourke,Size: OS
Steve Madden Large Wallet with Wristlet - Like New Condition!,8.0,Steve Madden,Size: OS
Fossil Black leather crossbody organizer bag,44.0,Fossil,Size: OS
Michael Kors Quilted Jet Set Travel Continental Wallet in Cement,15.0,MICHAEL Michael Kors,Size: OS
beaded clutch Express,12.0,Express,Size: OS
Coach Rare Dark Brown and Black Leather Convertible Shoulder Bag,81.0,Coach,Size: ~15(w) x 13(h) x 5(d)
Kate Spade Special Edition Hayden Tote Bag Purple One Size,69.0,kate spade,Size: OS
Dooney and Bourke Womens Black Monogram Double Handles Shoulder Strap Handbag,116.0,Dooney & Bourke,Size: OS
NWT Oroton Tecate Small Hobo Crossbody in Biscuit Color,79.0,Oroton,Size: 10.5” x  7”
Furla Croc Embossed Shoulder Bag,250.0,Furla,Size: OS
Lululemon Athletica Black Crossbody Bag with Gold Zipper,55.0,lululemon athletica,Size: OS
Coach Signature Jacquard Canvas Crossbody Shoulder bag,150.0,Coach,Size: OS
Juicy Couture Strawberry Satchel Freshly Picked Chestnut Brown Red,65.0,Juicy Couture,Size: OS
Vintage ECHO Silk Clutch Bag,22.0,Echo,Size: OS
Guess Y2K Purple shoulder bag,83.0,Guess,Size: OS
Y2K multi color purse,29.0,Vintage,Size: OS
Coach Peyton East West Convertable Tote EUC No F14878,89.0,Coach,Size: OS
KATE SPADE MAPLE COURT ZANI LEATHER CROSS BODY BLACK SHOULDER BAG,50.0,Kate spade,Size: OS
Vintage designer Hanae Mori crossbody black leather bag 7X6X2 inches,39.0,Hanae Mori,Size: 7X6X1 inches
Retro 90s Gold Metallic Structured Rhinestone Clasp Evening Bag,45.0,Vintage,Size: OS
Elegant Vintage Black croc embossed Brighton Chain Crossbody Bag/lipstick case,31.0,Brighton,Size: OS
IMAN Faux Leather Snakeskin Embossed Large Multifunctional Tote Bag OS Mob wife,59.0,IMAN,Size: OS
Cole Haan Black and Brown Tote Bag,50.0,Cole Haan,Size: OS
KATE SPADE NWT LEEWOOD PLACE MAKAYLA SCALLOP FULL SIZE BLACK SATCHEL BAG CROSS,220.0,kate spade,Size: 13” L X 9-1/2” H X 5”D
Betsey Johnson Kiki Faux Patent Watercolor Satchel Bag,45.0,Betsey Johnson,Size: OS
NWOT Pixie Mood Gray Vegan Leather Soft Unstructured Crossbody Bag Cruelty free,25.0,Pixie Mood,Size: OS
Suede cargo bag,300.0,Marc Jacobs,Size: OS
Soldxxxxxx,280.0,N/A,Size: OS
Brown‎ Sequins Felt Mini Tote,25.0,Vintage,Size: OS
Vintage Pierre Cardin Monogram Top Handle Bag,125.0,Pierre Cardin,Size: OS
Shiraleah Jute Veronica clutch bag vacation summer resortwear‎ beach cruise,24.0,Shiraleah,Size: OS
FENDI Diagonal Vertical Tote Bag FF Zucca Monogram & Tan Leather Crossbody Strap,1450.0,Fendi,Size: OS
Waterproof Corgi Medium Tote Shoulder Handbag,34.0,Uma Hana,Size: OS
"Isabellas Journey Handbag Black And Beige Colors 12 1/2"" X 9"" Beautiful",20.0,Isabella'S Journey,Size: OS
Sakroots Metro Tote Bag Navy Spirit Desert Durable Everyday Coated Canvas,35.0,Sakroots,Size: OS
Dooney & Bourke Navy and Tan AWL Shoulder Bag,90.0,Dooney & Bourke,Size: OS
Elegant Burgundy Cartier Leather Clutch,225.0,N/A,Size: OS
LIZ SOTO Women Vtg Handbag Clutch Purse Brown,19.0,Liz Soto,Size: OS
Michael Kors Nouveau Floral Large Zip Clutch,47.0,Michael Kors,Size: OS
